# x_1,x_2,Class_label
-5.37431565e+01,2.21782859e+01,0
1.88477011e+02,-3.10363470e+01,1
7.05275468e+01,-2.22043461e+01,1
9.57211925e+01,-4.12399091e+01,1
-7.77795605e+01,3.38643181e+00,0
1.37576088e+02,-7.03944561e+00,2
-1.35292572e+01,-3.06971559e+01,1
1.46624681e+01,3.41674652e+01,2
-7.12604523e+01,3.60676261e+01,0
-1.77319235e+02,2.78098359e+01,0
-3.20218147e+01,-2.08423370e+01,1
7.86598952e+01,-3.78348642e+01,1
2.18758194e+01,-3.97104859e+01,1
-9.51082079e+01,3.85740392e+01,0
-1.03518619e+02,-1.66673420e+01,1
-2.72822066e+01,2.31109690e+01,2
1.75648802e+01,-2.04039506e+01,1
-1.52702623e+02,3.57448339e+01,0
-1.08559239e+02,3.15405257e+01,0
-4.41747520e+01,3.65270735e+01,0
1.13167098e+02,1.08106588e+01,2
5.75426483e+01,2.79863026e+01,2
4.65573808e+01,-3.49576398e+01,1
4.58981178e+01,-2.26117458e+01,1
-1.27020433e+02,2.97917867e+01,0
8.31490251e+01,-1.75960454e+01,1
6.79969574e+01,-5.41527381e+01,1
1.84276390e+02,-6.90247873e+01,1
9.21445824e+01,-4.57711290e+01,1
1.16729342e+02,1.03453491e+01,2
-7.24031117e+01,2.11822613e+01,0
-1.17472334e+02,4.01087517e+01,0
4.26958878e+01,2.98666365e+01,2
-1.30094528e+01,1.69582107e+01,1
7.81272650e+01,2.06271687e+01,2
1.05238306e+02,1.78961085e+01,2
1.09871863e+02,-3.60722313e+01,1
-8.42236957e+00,4.81959540e+01,2
3.46251231e+01,2.99024679e+01,2
1.30156750e+00,-1.82403898e+01,1
1.05599961e+02,1.15663380e+01,0
-1.40298003e+01,1.17073768e+01,0
7.32578067e+01,1.78852938e+01,2
1.29891552e+02,-5.28428879e+01,1
1.07373500e+01,3.92834884e+01,2
-6.89455329e+00,2.91582504e+00,0
1.36633914e+02,-5.15064879e+01,1
6.71025754e+01,-1.04802853e+01,0
5.49568828e+01,-4.56080065e+01,1
-3.19478423e+01,2.69530929e+01,0
5.92116829e+01,2.52739537e+01,2
3.81096924e+00,5.48375926e+01,2
4.06694936e+01,-4.12304435e+01,1
-2.98481101e+01,6.70536328e+00,0
3.55145923e+01,-2.32235165e+01,1
1.83954687e+02,-8.82005691e+01,1
9.87411300e+00,3.68903729e+01,2
-1.58032400e+02,6.67240909e+00,1
1.05016681e+02,-1.03583293e+01,2
8.86842997e+01,-1.30022574e+01,0
1.26660207e+02,-4.16698979e+01,1
-1.51329110e+01,-1.59408584e+01,1
1.13583000e+02,5.44419385e+00,2
8.59701294e+01,-4.45324141e+01,1
3.88371828e+01,3.27494602e+01,2
1.42263101e+02,-4.48489674e+01,0
9.07409163e+01,-4.07641023e+01,1
-1.09044577e+02,-1.77498547e+01,1
8.93392153e+01,1.30888544e+01,2
7.80037121e+01,2.57640962e+01,2
1.44037160e+02,-2.28892114e+01,1
2.07378514e+01,4.42907697e+01,2
-1.21591542e+02,4.06049469e+01,0
1.13031633e+02,-3.74601093e+01,1
-6.81720203e+01,2.07079423e+01,0
-4.55214392e+01,8.64356490e+00,0
1.27069625e+02,-3.83480785e-01,2
5.27809392e+01,2.71809159e+01,2
2.24091064e+02,-4.53983336e+01,2
4.90418678e+01,-2.39638223e+01,1
6.26232407e+01,2.10159053e+01,2
7.10400983e+01,2.66451616e+01,2
5.19640803e+01,3.78111132e+01,2
1.11034913e+02,2.41314110e+00,2
-1.81077308e+02,1.44991614e+01,0
1.22893344e+02,-4.86037872e+00,2
-2.51096932e+02,3.60162064e+01,0
-8.20802291e+01,1.48762828e+01,1
4.55017226e+01,-7.64241367e+00,1
6.66741195e+01,2.68689126e+01,2
8.84570900e+01,2.55697656e+01,2
7.93708063e+01,6.12674715e+00,2
-1.49237076e+02,3.76076262e+01,0
6.90480633e+01,-3.42974429e+01,1
1.01883609e+01,3.71706091e+01,2
1.63315014e+01,3.71161268e+01,2
5.96502638e+01,-1.85820237e+01,1
7.95066789e+01,-1.50245860e+01,1
-3.05039864e+01,1.20495682e+01,0
1.17972625e+02,5.52532240e+00,2
4.99603169e+01,2.09880803e+01,2
6.02897345e+01,2.15653234e+01,2
1.38796532e+02,-5.60468126e+01,1
-1.74367175e+02,1.81800931e+01,0
2.43457308e+00,-2.55552543e+01,1
-9.85541734e+01,-5.70808179e+00,0
3.13530190e+01,4.30867830e+01,2
-4.42779336e+01,1.06736122e+01,0
3.26129658e+01,-1.97265160e+01,1
2.55063544e+01,-1.04721600e+01,0
5.99681600e+01,1.44150081e+01,0
9.87261111e+01,8.95186909e+00,2
6.63930920e+01,2.34258037e+01,2
1.09812749e+01,-1.20421100e+01,1
-7.07455142e+01,2.21073478e+01,0
4.70419194e+01,3.94105567e+01,2
1.38617329e+02,-7.93202179e+01,1
3.01424843e+01,-2.22184749e+01,1
-9.69371369e+01,1.39533868e+01,0
-1.30462806e+02,3.90839540e+01,0
-1.74572023e+02,3.47824648e+01,0
1.13538582e+02,4.48369136e+00,2
-7.70574368e+01,8.96532069e+00,0
7.08063998e+00,-1.92090311e+00,0
9.92446395e+01,-3.91689649e+01,1
1.07689399e+02,-4.92553529e+01,1
1.10808824e+01,-3.09920064e+01,1
-9.55875083e+01,1.10724272e+01,0
2.04959372e+01,-5.30741100e+01,1
7.94950886e+01,1.58842635e+01,2
-5.22564761e+01,-3.69296865e+01,1
-7.27091367e+01,6.96251851e+00,0
4.77936048e+00,-3.39630267e+01,1
1.27775194e+02,1.72742390e+00,2
-7.44360559e+01,8.85829832e+00,0
9.40607443e+00,4.27894236e+01,2
9.91816247e+01,-3.28785149e+01,1
-1.56887763e+02,5.11153528e+01,0
-1.63831814e+02,2.82072657e+01,0
-2.45896983e+02,5.11055089e+01,0
-9.24759223e+01,2.59533666e+01,0
9.99590783e+01,-5.74859753e+00,2
-1.24711794e+02,7.81316216e+00,0
6.23429156e+01,-1.38208665e+01,1
8.05628923e+01,2.50439524e+01,2
1.23646448e+02,5.03081596e+00,2
-1.77690819e+02,3.02960376e+01,0
2.98768065e+01,-3.15427312e+01,1
1.38683705e+02,2.96052139e+00,1
1.32337213e+01,3.92055593e+01,2
1.46473028e+02,-4.95312661e+01,1
-1.12769296e+02,2.56650999e+01,0
-2.35340005e+01,2.06349287e+01,0
-4.31093027e+01,9.34560330e+00,0
4.83193426e+01,3.88695207e+01,2
7.24713833e+01,2.11840505e+01,2
1.59584430e+02,-3.03312485e+01,1
-1.27524082e+02,2.42968182e+01,0
7.37563127e+01,2.39074087e+01,2
8.75935598e+01,-3.28027725e+01,1
-2.15541102e+02,4.23979190e+01,0
2.91425075e+01,4.69097739e+01,1
3.00262702e+01,-1.95660238e+01,1
1.27813227e+02,-4.01144846e+01,1
-9.97130018e+01,1.85116733e+01,0
2.74956526e+01,3.90599522e+01,2
7.04039687e+00,-1.96439324e+01,1
3.30781098e+01,2.98268533e+01,2
-5.00098916e+01,-1.03173210e+01,1
-1.89691153e+02,2.05844046e+01,0
1.02898688e+01,4.80620136e+01,2
4.77071388e+01,2.58877259e+01,2
-3.23183983e+01,-8.62535450e-01,0
-4.69480415e+01,6.47064463e+01,2
-1.64397517e+02,3.14803272e+01,0
-2.80464272e+02,4.70884603e+01,0
5.76435240e+01,-4.54137262e+01,1
-2.44125454e+01,7.26038193e+00,0
-2.08551943e+02,3.68614645e+01,0
4.23672563e+01,2.73605522e+01,2
6.15907859e+01,-4.30944015e+01,1
6.58639480e+01,3.02605717e+01,2
9.44808208e+01,-3.91600806e+01,1
3.75394078e+01,3.88100685e+01,2
7.29303867e+01,2.55837892e+01,2
9.99413236e+01,-4.95362550e+01,1
4.54966888e+01,3.58429733e+01,2
5.33273756e+01,2.46342679e+01,2
1.41406743e+02,-8.68245624e+00,1
4.05729821e+01,2.94686909e+01,2
3.84624200e+01,4.06675078e+01,2
1.54726622e+01,9.88235990e+00,0
-1.56018247e+01,5.04033007e+01,2
1.80000665e+02,-8.18712839e+01,1
2.81996918e+01,-4.19227533e+01,1
-1.24352354e+02,2.62562343e+01,0
-8.66723841e+01,2.49543955e+01,0
-1.55914883e+01,1.83550087e+01,0
5.65459713e+01,-2.54641609e+01,1
8.89921541e+01,1.49910310e+01,2
1.11033352e+02,1.21202665e+01,2
-7.29927604e+01,1.90742657e+01,0
2.26441144e+02,-7.47807435e+01,1
-2.26998108e+02,2.81178284e+01,0
2.53362252e+01,-1.91937061e+00,1
1.27740368e+02,-3.76127140e+01,1
2.61682004e+01,3.87306659e+01,2
1.17804395e+01,4.71125639e+00,0
3.16504544e+01,3.75850297e+01,2
1.71791726e+02,-3.41554043e+01,1
4.24775672e+01,4.27282432e+01,2
-2.24436685e+01,-2.00794306e+01,1
-1.27977782e+02,-1.36912324e+01,1
-1.18090201e+02,2.88211528e+01,0
8.48709671e-01,4.35229064e+00,0
-1.10172206e+01,-1.70678427e+01,1
6.58689999e+01,2.37499256e+01,2
4.84612384e+01,1.23853426e+01,0
6.11288723e+01,-3.95026325e+01,1
1.72278311e-02,-3.18391792e+01,1
-9.50540261e+01,1.75420178e+01,0
9.91436594e+01,-4.50498388e+01,1
7.14504319e+01,1.95023272e+01,2
-1.19820542e+02,1.80050057e+01,1
7.09940940e+01,2.35051893e+01,2
4.62996192e+01,-5.55758275e+01,1
-1.22619819e+02,3.79949135e+01,0
-5.84576577e+01,3.02376718e+01,0
8.87906309e+01,-1.65845705e+01,0
-1.74483042e+02,1.69155541e+01,0
3.78911794e+01,3.79629020e+01,2
-5.67746997e+01,6.54593294e+00,0
7.99285841e+01,2.54647989e+01,2
-2.62858813e+02,7.25077902e+01,0
1.58972172e+02,-7.26218199e+00,2
6.69501771e+01,-3.15846532e+01,1
-1.47312446e+02,1.93447818e+01,0
2.28683155e-01,4.36555425e+00,1
1.16756673e+02,-3.07183334e+00,2
4.25204861e+01,2.51158654e+01,2
6.78765977e+01,2.47652986e+01,2
-7.26489533e+01,2.51470882e+01,2
-9.58641082e+01,1.38555346e+01,0
3.72148800e+01,-3.14558892e+01,1
7.06639809e+01,2.23847744e+01,2
-1.97170708e+01,-1.24812623e+01,0
5.32067311e+01,-3.86113531e+01,1
-2.86994929e+01,2.50864106e+01,0
8.20907279e+01,1.75984789e+01,2
1.23015194e+02,-3.21533849e+01,1
-8.39261380e+01,7.32194886e+00,0
1.21908412e+02,-7.31877865e-01,2
-1.23129772e+02,2.91515018e+01,0
-1.16788892e+02,7.64282144e+00,0
3.88975899e+01,-3.79746282e+01,1
3.40474349e+01,-1.22662561e+00,0
-4.70432410e+01,3.09347524e+00,0
-8.63670048e+01,5.27480865e+00,1
2.06616394e+02,-5.93912269e+01,1
1.31871905e+01,-1.61936143e+01,1
5.53433286e+01,3.38919619e+01,2
1.22464469e+02,-1.32183790e+00,2
-9.12252510e+00,-3.96234594e+01,1
-1.21208700e+01,-1.93840792e+01,1
1.98318191e+01,3.25728615e+01,2
7.27417172e+01,-5.17752321e+01,1
8.29635241e+00,-2.20173912e+01,1
-1.22254366e+02,2.33476177e+01,1
-3.84122008e+01,6.30843553e+00,0
4.65361667e+00,-2.83850190e+00,0
1.01390594e+02,3.54711125e+00,2
1.72268838e+01,-2.81124830e+01,1
-1.84319543e+02,2.30519286e+01,0
1.56908967e+02,-3.01641007e+01,1
4.06268445e+01,3.66963818e+01,2
1.15224764e+02,-1.31456525e+00,2
9.16092672e+01,1.59492633e+01,2
4.39500509e+01,6.05320347e+00,0
-1.56927992e+02,2.57291759e+01,0
1.56336417e-01,4.08190945e+01,2
8.75874685e+01,1.13789050e+01,2
8.89438353e+00,-4.68941843e+01,1
-1.29372612e+02,3.55020251e+01,0
-2.70303980e+02,4.87820053e+01,0
1.13526069e+02,-3.70229450e+01,1
-2.59853922e+01,1.81108684e+01,0
7.69733757e+01,1.43314805e+01,2
3.40936641e+00,1.10058841e+00,0
5.34122918e+01,-3.37130699e+01,1
-1.43834830e+02,9.76235686e+00,0
2.71404059e+02,-9.20579520e+01,1
-1.42767598e+01,2.41462848e+00,0
1.30425271e+01,3.77613154e+01,2
-1.23097353e+02,3.61620271e+01,0
-1.21516978e+02,2.89835195e+01,0
3.88443243e+01,4.01462682e+01,2
-2.09399346e+01,2.27396355e+01,0
-3.58418874e+01,7.16628203e+01,2
5.22496003e+01,2.62785957e+01,2
6.76918105e+01,3.45948920e+01,2
-4.04514135e+01,2.70154244e+01,0
5.07717951e+01,2.41807822e+01,2
5.92301674e+01,-2.35862039e+00,0
-2.57590440e+02,5.35931484e+01,0
-1.61886084e+01,-1.27451824e+01,1
2.08829548e+02,-6.92921671e+01,1
5.58115747e+01,2.37320628e+01,2
1.16378658e+02,-2.40679013e+01,1
3.18844498e+01,3.70446512e+01,2
-1.11306467e+02,3.15377004e+01,0
-1.33547314e+02,9.45461168e+00,0
1.27636512e+02,-4.83753840e+01,1
-1.62195745e+02,5.24240482e+01,0
1.04776966e+02,6.53360126e+00,2
-1.19529933e+02,1.35307747e+01,0
1.65937291e+02,-5.16141171e+01,1
5.15216471e+01,-3.55122008e+01,1
-1.03226131e+02,1.48481987e+01,0
-7.96116433e+01,-9.90906657e-01,1
4.53000769e+01,3.43862823e+01,2
-1.61514000e+02,2.54987870e+01,0
-9.41856070e+01,2.38138011e+01,0
-8.43456218e-01,4.73272165e+01,1
-3.56457465e+01,-9.36334089e+00,1
2.22071835e+01,4.34948636e+01,2
9.22818630e+00,4.26124089e+01,2
5.51399510e+01,2.44028646e+01,2
1.52978739e+02,-8.29190417e+00,0
-4.46099422e+01,2.77340714e+01,0
1.51485314e+02,-4.32964676e+01,1
7.13324736e+01,-2.48132759e+01,1
-1.08725829e+01,1.50806177e+01,0
2.71423176e+01,2.89124303e+01,2
-9.42592009e+01,1.67163843e+01,0
2.01709529e+02,-3.74421808e+01,1
9.72482152e+01,1.85339662e+01,2
2.52099700e+01,-1.24886431e+01,1
7.19949213e+01,1.03251239e+01,0
6.38582807e+01,-3.69433488e+01,1
4.02122689e+01,3.15288764e+01,2
4.14258363e+01,3.79809194e+01,2
8.00397676e+01,-4.27135790e+01,1
-2.14516355e+02,4.11325600e+01,0
1.12189692e+02,-3.24190416e+01,1
-3.64041724e+01,-2.25460293e+00,0
-2.07670380e+02,2.20598327e+01,0
3.51190141e+01,4.03209073e+01,2
-2.05199064e+02,2.93073222e+01,0
-3.81948196e+00,-2.50009514e+01,1
8.77840992e+01,1.94411132e+01,2
9.86849427e+01,6.55303544e+00,2
-2.05818846e+00,4.51398182e+01,2
-5.53664436e+01,-9.97431719e-01,1
-2.45904708e+02,5.53413202e+01,0
-8.62923892e+01,1.45737114e+01,0
-1.98102185e+01,-2.71709952e+00,1
-1.00702464e+02,1.85602868e+01,0
-1.62735188e+02,3.91716768e+01,0
9.40921262e+00,5.41437355e+01,2
9.02951253e+01,1.86883701e+01,2
-1.28935421e+02,1.25531832e+01,0
1.72361199e+02,-3.52442891e+01,1
8.48924778e+01,1.29793622e+01,2
1.29440566e+02,2.68810869e-01,0
1.65658023e+02,-4.18018577e+01,1
-1.26016251e+02,2.32761807e+01,0
1.99049294e+02,-6.33110203e+01,1
4.66326674e+01,3.21581573e+01,2
1.63688686e+02,-2.44751938e+01,2
8.72974944e+01,1.83288325e+01,2
1.70156451e+01,-1.34743101e+01,1
-1.00634011e+02,2.98555838e+01,0
-9.06001276e-01,1.30376555e+01,1
7.48355419e+01,-3.57470895e+01,1
9.01794443e+01,-2.84534398e+01,1
1.38393374e+02,-3.68714893e+01,1
8.40137723e+01,1.22301864e+01,0
2.58059690e+01,4.92608506e+01,2
1.66280510e+02,-5.68246560e+01,1
-1.20425713e+02,3.71664345e+01,0
7.79405091e+01,-4.58611398e+01,1
4.45234071e+01,3.57784333e+01,2
9.09114256e+01,7.09342085e+00,2
4.67119365e+01,2.91913035e+01,2
6.90410442e+01,-2.15687092e+01,1
-1.08634211e+02,2.34709324e+01,0
6.73796698e+01,-3.10844277e+01,1
5.35864993e+01,2.78788271e+01,2
-1.02495978e+02,4.70133940e+01,0
-1.83286806e+02,2.49754520e+01,0
