# x_1,x_2,Class_label
4.40292066e-01,6.94094814e-01,0
1.37267369e-01,1.34071447e+00,0
3.14640095e-01,-4.09721568e-01,1
-7.06551939e-01,6.69706638e-01,0
-8.31378064e-01,8.57834219e-01,0
8.39304669e-01,2.78503365e-01,0
-2.92950355e-01,1.16828343e+00,0
1.66365177e-01,9.23381764e-02,1
2.00167588e+00,3.39623935e-01,1
1.97610251e+00,-1.25462250e-01,1
1.21980368e-01,-1.53771188e-01,1
1.64344421e+00,-4.94002246e-02,1
-1.05993341e+00,7.63405646e-01,0
2.66274411e-01,2.35404533e-01,1
-4.76508979e-01,7.12874440e-01,0
2.21198268e+00,4.10614118e-01,1
1.45170835e+00,-3.48777821e-01,1
-3.15021331e-02,-1.16528897e-01,1
-5.73105011e-01,6.99596778e-01,0
-8.30212586e-01,4.85321163e-01,0
1.77350309e+00,2.70134616e-01,1
-5.04985560e-01,4.52988608e-01,0
1.93880019e+00,-3.81835183e-01,1
9.40024455e-01,-4.44745491e-01,1
1.11662371e+00,-3.34766356e-01,1
-8.02043198e-01,7.68730212e-01,0
3.83709232e-01,5.24341061e-01,0
-1.01097636e+00,3.08847704e-01,0
-7.60045217e-01,6.50141857e-01,0
2.99260013e-01,1.23313449e+00,0
1.35615961e-01,-1.37800498e-01,1
2.10044312e+00,9.96927763e-02,1
-1.43961328e+00,3.48933497e-01,0
7.07336819e-01,8.64472654e-01,0
1.13735038e+00,-5.35538432e-01,1
-6.05493980e-01,7.14974104e-01,0
-8.78312582e-01,1.52688100e-02,0
7.67609250e-01,-8.27146064e-01,1
2.02296046e-01,-4.91488481e-01,1
9.11655425e-01,-6.10000498e-01,1
-1.88799869e-01,9.56569759e-01,0
-1.11325864e+00,4.19008544e-02,0
8.39440725e-01,5.55357187e-01,0
3.04142586e-01,1.22181655e+00,0
-9.95150597e-02,8.49572424e-01,0
-3.30159221e-01,9.84128825e-01,0
1.88344845e+00,1.10459031e-01,1
-2.09629161e-01,2.55727151e-01,1
-5.75102820e-01,1.23127658e+00,0
9.07581996e-01,-6.22245078e-02,1
1.01694042e+00,9.85547090e-01,0
5.80298907e-01,-6.30658102e-01,1
1.48240016e+00,-6.81286517e-01,1
-8.43677978e-01,6.15521774e-01,0
-1.30487665e-01,1.51050588e-01,1
-9.11063263e-02,1.18608005e-01,1
9.45329088e-02,3.70216507e-01,1
-5.26817941e-01,9.80267239e-01,0
9.88276506e-01,-4.58301280e-01,1
1.28732775e+00,-4.95630557e-01,1
-4.76986209e-02,1.14554794e+00,0
4.55649928e-01,7.32621804e-01,0
-6.34100616e-01,9.90388001e-01,0
8.34301368e-01,-5.10450046e-01,1
1.02599275e+00,7.40603573e-01,0
6.62191161e-01,8.08625440e-01,0
4.02027511e-01,5.68896863e-01,0
